city,station_code,latitude,longitude,station_name,region,network,region_index,access_type,operator
Cauquenes,RVII/714,-35.969115075775,-72.316818237305,Cauquenes Sivica,VII,Red MMA,9,Pública,Ministerio del Medio Ambiente
Talcahuano,RVIII/802,-36.723695141848,-73.123658865174,Consultorio - San Vicente,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Hualpén,RVIII/804,-36.780632,-73.115657,JUNJI,VIII,ENAP Biobío,10,Privada,ENAP
Hualpén,RVIII/805,-36.803034,-73.120527,Bocatoma,VIII,ENAP Biobío,10,Privada,ENAP
Talcahuano,RVIII/806,-36.737202,-73.104427,Inpesca,VIII,ENAP Biobío,10,Privada,ENAP
Talcahuano,RVIII/807,-36.769803,-73.113708,Indura,VIII,ENAP Biobío,10,Privada,ENAP
Chillán,RXVI/810,-36.594880886514,-72.089253650482,"INIA, Chillán",XVI,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Coronel,RVIII/816,-37.031702,-73.138689,Coronel Sur,VIII,Colbun - Coronel,10,Privada,Colbún S.A
Nacimiento,RVIII/818,-37.501844565823,-72.676405906677,Club de Empleados,VIII,CMPC Santa Fe,10,Privada,CMPC PULP SpA
Laja,RVIII/826,-37.267803138651,-72.710695266724,Laja,VIII,CMPC Laja,10,Privada,CMPC PULP SpA
Concepción,RVIII/827,-36.784653741124,-73.052063025795,Kingston College,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Tomé,RVIII/830,-36.601713211434,-72.958522830688,Liceo Polivalente,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Coronel,RVIII/831,-37.021182877699,-73.149555550926,Cerro Merquín,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Curanilahue,RVIII/832,-37.485131692556,-73.331626473541,Balneario Curanilahue,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Talcahuano,RVIII/837,-36.735998,-73.118693,Nueva Libertad,VIII,CAP - Talcahuano,10,Privada,Compañía Siderurgica Huachipato
Hualpén,RVIII/838,-36.791231,-73.119152,ENAP Price,VIII,ENAP Biobío,10,Privada,ENAP
Hualqui,RVIII/841,-36.97743148785,-72.932017713268,Hualqui,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Nacimiento,RVIII/852,-37.503604018657,-72.6596661022,Entre Ríos,VIII,CMPC Santa Fe,10,Privada,CMPC PULP SpA
Chiguayante,RVIII/854,-36.923329602986,-73.036132300941,Punteras,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Coronel,RVIII/859,-37.100696257418,-73.155760394707,Lota rural,VIII,ENEL Coronel,10,Privada,Enel Generacion Chile S.A.
Coronel,RVIII/860,-37.077619809695,-73.154136498581,Lota urbana,VIII,ENEL Coronel,10,Privada,Enel Generacion Chile S.A.
Nacimiento,RVIII/870,-37.508937992394,-72.656092617752,Lautaro,VIII,CMPC Santa Fe,10,Privada,CMPC PULP SpA
Chillán,RXVI/873,-36.616167751711,-72.093040558483,Puren,XVI,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Los Angeles,RVIII/874,-37.463035064801,-72.324575155457,Los Ángeles Oriente,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Los Angeles,RVIII/875,-37.471182288689,-72.36146284977,21 de mayo,VIII,MMA Biobío,10,Pública,Sub Secretaría del Medio Ambiente
Coronel,RVIII/878,-37.009021343988,-73.14909696579,Coronel Norte,VIII,Colbun - Coronel,10,Privada,Colbún S.A
Coronel,RVIII/879,-36.984579193699,-73.152648210526,"Lagunillas, ENEL",VIII,ENEL Coronel,10,Privada,Enel Generacion Chile S.A.
Coronel,RVIII/880,-36.954315879984,-73.150448799133,"Escuadron, ENEL",VIII,ENEL Coronel,10,Privada,Enel Generacion Chile S.A.
